Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,0.837742,222.013779,2123.252777,3429.162803,4438.753434
your,0.843992,209.919373,2166.083461,3174.756826,4491.96717
your,0.850242,205.60853,2089.310527,2148.166346,3209.549129
your,0.856492,215.253218,2086.085513,2182.327773,3209.913246
your,0.862742,236.924132,1998.826834,2283.867037,3186.977746
your,0.868992,243.734528,1951.009057,2319.900484,3159.492625
your,0.875242,250.173844,1930.771031,2351.406167,3132.534302
your,0.881492,258.693868,1925.074231,2406.366273,3107.500355
your,0.887742,270.732857,1920.114461,2443.354891,3106.907174
your,0.893992,276.487497,1890.035442,2519.525062,3119.974665
your,0.900242,273.564346,1853.160161,2438.140005,3177.816438
your,0.906492,275.099491,1897.829132,2282.800756,3172.414097
your,0.912742,315.482206,1920.16939,2352.207093,3121.018405
your,0.918992,339.41175,1920.129039,2290.268651,3091.962311
your,0.925242,365.108841,1737.000626,2589.14501,3086.375802
your,0.931492,380.458888,1582.584103,2805.725513,3077.932382
your,0.937742,393.089094,1551.525647,2620.803025,3107.609248
your,0.943992,403.378251,1509.403713,2553.383943,3121.751144
your,0.950242,403.782953,1317.89989,2368.083629,3139.897864
your,0.956492,392.12093,1251.624228,2396.444691,3167.541791
your,0.962742,389.883618,1235.040442,2440.868743,3212.175916
your,0.968992,424.621648,1252.291196,2446.372556,3226.364486
your,0.975242,444.343748,1293.695678,2490.230706,3180.56997
your,0.981492,437.883714,1273.838229,2442.36314,3176.15738
your,0.987742,441.421354,1280.61142,2464.606325,3174.403644
your,0.993992,437.993053,1265.348399,2433.049408,3270.450504
your,1.000242,430.506131,1250.515366,2337.728225,3395.620854
your,1.006492,430.060223,1252.207865,2248.93422,3457.347641
your,1.012742,416.140166,1238.243241,2152.360871,3503.022837
your,1.018992,405.696399,1236.951163,2110.386993,3533.45406
your,1.025242,388.339151,1239.181372,1992.447269,3481.9563
your,1.031492,369.071162,1253.242596,1965.571115,3416.681985
your,1.037742,377.645876,1292.268473,1956.947702,3504.127656
your,1.043992,367.109996,1343.404122,1915.768169,3570.347503
your,1.050242,354.620519,1348.547275,1876.083319,3563.919738
your,1.056492,348.471149,1354.624244,1903.264935,3555.931861
your,1.062742,343.960498,1353.337019,1917.384802,3603.251169
your,1.068992,344.12853,1355.687261,1963.581464,3563.460906
your,1.075242,345.199791,1376.746484,2122.859595,3493.953792
