Word,Time_s,F0_Hz
your,0.847598,133.968988
your,0.859137,127.611957
your,0.870675,127.30866
your,0.882214,127.980192
your,0.893752,129.309905
your,0.90529,131.243657
your,0.916829,132.350905
your,0.928367,133.245816
your,0.939906,134.2662
your,0.951444,134.745207
your,0.962983,134.657668
your,0.974521,134.409734
your,0.98606,134.110723
your,0.997598,134.040664
your,1.009137,133.730281
your,1.020675,133.61581
your,1.032214,132.427318
your,1.043752,131.034788
your,1.05529,130.408099
your,1.066829,129.498208
your,1.078367,127.90957
your,1.089906,122.87483
good,1.101444,118.484183
good,1.112983,114.171281
good,1.124521,112.24166
good,1.13606,--undefined--
good,1.147598,--undefined--
good,1.159137,--undefined--
good,1.170675,--undefined--
good,1.182214,--undefined--
good,1.193752,--undefined--
good,1.20529,139.393274
good,1.216829,140.826807
good,1.228367,140.712246
good,1.239906,142.61789
good,1.251444,144.011891
good,1.262983,145.015401
good,1.274521,144.560998
good,1.28606,142.46167
good,1.297598,137.248627
pants,1.309137,141.559159
pants,1.320675,144.54245
pants,1.332214,144.488032
pants,1.343752,--undefined--
pants,1.35529,--undefined--
pants,1.366829,--undefined--
pants,1.378367,--undefined--
pants,1.389906,--undefined--
pants,1.401444,--undefined--
pants,1.412983,--undefined--
pants,1.424521,--undefined--
pants,1.43606,--undefined--
pants,1.447598,--undefined--
pants,1.459137,--undefined--
pants,1.470675,--undefined--
pants,1.482214,--undefined--
pants,1.493752,--undefined--
pants,1.50529,172.190367
pants,1.516829,171.614919
pants,1.528367,170.609146
pants,1.539906,169.603291
pants,1.551444,168.500876
pants,1.562983,165.49792
pants,1.574521,162.48225
pants,1.58606,157.95881
pants,1.597598,155.970176
pants,1.609137,151.738996
pants,1.620675,146.016502
pants,1.632214,143.785743
pants,1.643752,141.410001
pants,1.65529,138.498529
pants,1.666829,136.69439
pants,1.678367,137.237605
pants,1.689906,143.284107
pants,1.701444,--undefined--
pants,1.712983,--undefined--
pants,1.724521,--undefined--
pants,1.73606,--undefined--
pants,1.747598,--undefined--
look,1.759137,118.665941
look,1.770675,116.120616
look,1.782214,114.596442
look,1.793752,112.534683
look,1.80529,111.170514
look,1.816829,110.067526
look,1.828367,110.034612
look,1.839906,109.693618
look,1.851444,109.126683
look,1.862983,108.667132
look,1.874521,108.316052
look,1.88606,108.059937
look,1.897598,107.203872
look,1.909137,104.697459
look,1.920675,98.806049
look,1.932214,99.269576
look,1.943752,--undefined--
look,1.95529,--undefined--
look,1.966829,--undefined--
look,1.978367,--undefined--
look,1.989906,--undefined--
look,2.001444,--undefined--
look,2.012983,--undefined--
great,2.024521,--undefined--
great,2.03606,--undefined--
great,2.047598,--undefined--
great,2.059137,--undefined--
great,2.070675,--undefined--
great,2.082214,--undefined--
great,2.093752,--undefined--
great,2.10529,--undefined--
great,2.116829,121.224815
great,2.128367,120.646685
great,2.139906,120.148981
great,2.151444,120.622758
great,2.162983,120.219328
great,2.174521,118.46663
great,2.18606,115.888748
great,2.197598,113.848244
great,2.209137,108.985405
great,2.220675,101.329635
great,2.232214,97.118224
great,2.243752,93.594221
great,2.25529,91.350605
great,2.266829,88.974698
great,2.278367,92.3896
great,2.289906,--undefined--
great,2.301444,--undefined--
great,2.312983,69.254879
great,2.324521,69.519118
great,2.33606,--undefined--
great,2.347598,--undefined--
great,2.359137,--undefined--
great,2.370675,--undefined--
great,2.382214,--undefined--
great,2.393752,--undefined--
great,2.40529,--undefined--
great,2.416829,--undefined--
great,2.428367,--undefined--
great,2.439906,--undefined--
great,2.451444,--undefined--
great,2.462983,--undefined--
great,2.474521,--undefined--
great,2.48606,--undefined--
great,2.497598,--undefined--
great,2.509137,--undefined--
great,2.520675,--undefined--
great,2.532214,--undefined--
great,2.543752,--undefined--
great,2.55529,--undefined--
